mass_keV,sensitivity_yr
1200,2.6477484073429287e20
1200,6.09699880757814e20
1200,4.367219494066057e20
1200,6.260405089705697e20
1200,5.937323677485307e20
1200,6.538601084142119e20
1200,3.287646026278912e20
1200,3.030854476518648e20
1200,3.085550525469976e20
1200,9.003301410643352e20
1200,6.357444527350025e20
1200,2.8295292774456823e20
1200,3.139869901855288e20
1200,3.8651976701354e20
1200,7.995374074267199e20
1200,3.8021972250738494e21
1200,1.049097360797489e22
1200,5.96714511601454e20
1200,5.795359881333398e20
1200,4.274658309761246e20
1200,5.4041703025713034e20
1200,4.775582660830787e20
1200,7.952341039450595e20
1200,1.1250205359803235e22
1200,4.499287035624884e20
1200,6.859964099101814e20
1200,4.365294368070618e20
1200,9.66107237591331e20
1200,4.1837352072011547e20
1200,1.106270863454113e21
1200,4.849454699853012e20
1200,4.161301212068845e20
1200,1.1150804386973821e21
1200,5.304133563459903e20
1200,1.9683777610226604e20
1200,6.469452806833584e20
1200,9.645903016295638e20
1200,5.7667366190381466e20
1200,8.667650569011484e20
1200,7.275863316529992e20
1200,3.1678753244144416e20
1200,2.344160610188068e20
1200,2.439127177746954e20
1200,3.09261310245528e20
1200,5.156371306826876e20
1200,6.285979241836092e20
1200,8.942215389465696e20
1200,5.5195377486318574e20
1200,3.530858979813974e20
1200,5.942546355255825e20
1200,5.282539035354266e20
1200,3.567369703695232e20
1200,2.702886461944324e20
1200,4.47214534705401e20
1200,6.688841805611767e20
1200,3.25248785307852e20
1200,4.089586582542487e20
1200,2.2958981963396943e20
1200,3.480327941834432e20
1200,4.687592861148129e21
1200,5.599131811486775e20
1200,8.414743468348192e20
1200,3.5506750778941827e20
1200,4.7678476185285945e20
1200,5.259904378509919e20
1200,4.557190795919162e20
1200,5.144644810146172e20
1200,4.320864571132595e20
1200,5.878286379102862e20
1200,5.360555003119233e20
1200,4.089026089049789e20
1200,7.018659056890494e20
1200,4.4266380868437003e20
1200,3.840080956084403e20
1200,3.795278401954466e20
1200,4.6122958663102195e20
1200,6.268003591751678e20
1200,4.714322693100261e20
1200,4.833108622848697e20
1200,5.284836135330048e20
